userId,userName,userEmail,addressId,addressFull,postalCode,latitude,longitude,schoolId,schoolName,educationLevel,ppdbInfoId,academicYear,capacityZonasi,avgApplicantsZonasi,capacityPrestasi,avgApplicantsPrestasi,capacityAfirmasi,avgApplicantsAfirmasi,capacityPerpindahanOrtu,avgApplicantsPerpindahan,zoningRadiusKm,minAvgScorePrestasi
48d53af5-45b7-48ad-96df-5c5447150b32,Admin Junior High School 41 Semarang,juniorhighschool41semarang@yopmail.com,e389b527-e9b1-419d-845d-7ceb4981a3f4,"W9H5+47W, Jl. Cepoko Utara, RT.04/RW.01, Cepoko, Kec. Gn. Pati, Kota Semarang, Jawa Tengah 50223, Indonesia",50223,-7.0721368,110.358215,8c8b86c0-3a79-40b5-a266-118290a445bb,Junior High School 41 Semarang,SMP,ee249cad-9334-4a89-9bee-99f1b60ac8e6,2024/2025,45,80,20,25,8,10,6,19,3.0,81.41
1830c66b-0864-4f97-ad46-71219414aab3,Admin SMPN 18 Semarang,smpn18semarang@yopmail.com,3e5808f9-003b-4913-848a-a93fe51a2de1,"Jl. Purwoyoso 1 No.19, Purwoyoso, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50184, Indonesia",50184,-6.9883235,110.3622487,6e37998c-c93a-4984-94bd-0bcfc8424d2e,SMPN 18 Semarang,SMP,50d72278-3996-45a0-ad9f-c419a2bd6013,2024/2025,31,96,16,30,6,20,4,8,1.0,70.21
6c78ff41-db85-489e-a491-dba851d8466b,Admin State Junior High School 30,statejuniorhighschool30@yopmail.com,e2f7b8f4-9cb2-4808-8524-99f5e38b2972,"Jl. Amarta Raya No.21, Krobokan, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50141, Indonesia",50141,-6.9791868,110.3972222,be12e28a-f52b-4b63-91ca-dd9c5dbf5f85,State Junior High School 30,SMP,fbde1c5d-eb1e-4434-b827-a99e2736c62b,2024/2025,43,112,11,18,14,10,10,20,1.3,82.66
325b7fa3-0ce7-495a-a8b9-a5a9821bce28,Admin SMP Kartiyoso Semarang,smpkartiyososemarang@yopmail.com,ddbc7a20-a74a-478e-b4bc-4fe935fff150,"Jl. Taman Progo No.13, Mlatibaru, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50122, Indonesia",50122,-6.9688856,110.4361483,532d652e-f9a2-47fb-b5ac-072bada7f005,SMP Kartiyoso Semarang,SMP,f514db3d-1324-404d-9e4a-bd5b0033f021,2024/2025,38,145,5,59,13,20,10,6,1.1,82.75
950aad97-9a5b-49b7-adb9-fff27e753b7f,"Admin Junior High School 28, Semarang",juniorhighschool28semarang@yopmail.com,9cf899c1-b340-4ce0-a586-eed12b720105,"27MX+78C, Jl. Kyai Gilang, Mangkang Kulon, Kec. Tugu, Kota Semarang, Jawa Tengah 50188, Indonesia",50188,-6.9668199,110.2982597,e1840dd3-24e1-483c-88d6-8c1c23bc5c08,"Junior High School 28, Semarang",SMP,9199dce7-17ba-4fc9-ab9f-21404952e1cd,2024/2025,41,82,5,31,14,20,7,13,1.7,77.8
234c6ebc-198b-4b59-885a-21c2083b9897,Admin SMP Negeri 40 Semarang,smpnegeri40semarang@yopmail.com,1079bd95-51c4-4c50-bb6f-335d32964d17,"Jl. Suyudono No.130, Barusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50245, Indonesia",50245,-6.9895263,110.4046316,d9314a2c-9c0d-4879-9cc6-edfe63a7794d,SMP Negeri 40 Semarang,SMP,d922106f-017f-4f21-9ff1-be7268e14c1a,2024/2025,45,108,18,46,14,30,10,7,1.9,75.64
e6c2a5ba-4e61-40cb-bf5e-a90513570c55,Admin SMP Nusaputera,smpnusaputera@yopmail.com,4c2bc120-9457-4820-8e3a-3bc68d36ee90,"Jl. Ki Mangunsarkoro No.59, Gabahan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50135, Indonesia",50135,-6.980815,110.42848,83ff9245-0d31-45c3-ad2b-60a883c181d1,SMP Nusaputera,SMP,4ce5ad1a-3bef-4e0e-97bb-2567bf2dea0b,2024/2025,33,97,7,39,9,25,5,14,2.8,82.84
d8a29075-c4b7-4ed7-8ca9-3d417ef3b83a,Admin Maria Goretti Junior High School,mariagorettijuniorhighschool@yopmail.com,11a883ad-3f5b-4b01-ae8d-e7f0c360fcc0,"Jl. Imam Bonjol No.198, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132, Indonesia",50132,-6.9810007,110.4107499,21882cca-1226-4f31-91c7-b99125f18351,Maria Goretti Junior High School,SMP,35316c14-eb2b-4b2d-b5f0-7c6d4e7ee1a4,2024/2025,49,111,11,25,14,20,10,18,2.4,82.23
aeb4c313-5644-46ea-970e-a9238c65bcaa,Admin SMP Negeri 3 Semarang,smpnegeri3semarang@yopmail.com,f71fa52b-9669-4c85-bcd9-2595f211098f,"Jl. Mayor Jend. D.I. Panjaitan No.58, Brumbungan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50135, Indonesia",50135,-6.9854422000000005,110.4266381,410c866a-9ab1-4c32-b43d-d50c3b0ad76e,SMP Negeri 3 Semarang,SMP,ac5f2225-ada7-44e2-a7b4-7d8f6236b53b,2024/2025,53,93,14,56,9,22,4,14,2.5,86.4
3136cac6-b74c-4d50-84cb-62017626f4fa,Admin SMP N 10 Semarang,smpn10semarang@yopmail.com,a57382a9-b285-46a8-b1e2-6a2dbd1b6c04,"Jl. Menteri Supeno No.1, Mugassari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia",50249,-6.991294399999999,110.4164104,87bf84e0-d83e-4320-9a36-81bcfd907b5b,SMP N 10 Semarang,SMP,9e15beaf-b379-4925-b2ba-eb2d1c16e383,2024/2025,55,128,18,46,13,14,10,10,2.6,79.2
